Protein IDs	Majority protein IDs	Gene names	Protein names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Mol. weight [kDa]	Q-value	Score	Reverse	Potential contaminant	Only identified by site	LFQ intensity Experiment1	LFQ intensity Experiment2	LFQ intensity Experiment3	LFQ intensity Experiment4	LFQ intensity Experiment5	LFQ intensity Experiment6	LFQ intensity Experiment7	LFQ intensity Experiment8	iBAQ Experiment1	iBAQ Experiment2	iBAQ Experiment3	iBAQ Experiment4	iBAQ Experiment5	iBAQ Experiment6	iBAQ Experiment7	iBAQ Experiment8	Intensity Experiment1	Intensity Experiment2	Intensity Experiment3	Intensity Experiment4	Intensity Experiment5	Intensity Experiment6	Intensity Experiment7	Intensity Experiment8
P00011	P00011	GENE11	MaxQuant protein 11	2	24	11	6	146.28563518548603	0.004668642044806979	250.51411422437855				1067155.2532155076	26919790.773564313	2616746.47947252	30982502.077347234	9466221.819307672	4218534.406226139	16256964.983091658	2607911.6989252428	770766.4146265889	69701.09743431266	1447881.7937574242	2157706.961052264	511184.5926660161	1077927.8922354782	1333746.8626133648	37900902.57231687	29399161.117021546	2130879.336312758	609288.9793373379	28957113.50796192	4128664.697732578	1979520.1619284532	32756952.685412593	31970474.686218224
P00012	P00012	GENE12	MaxQuant protein 12	2	7	12	19	147.40937793832845	0.009653028667940884	128.48951868062636				4349426.9937197855	1167450.0129042324	9310463.66750846	3069543.75154306	3126635.6676113186	2553823.5628369558	500633.67763455346	1810575.8434888525	7892474.399134184	308363.8711480307	276270.47062061756	682196.7864619909	265886.8713106923	243286.9839516014	195478.77093876124	255783.3745249382	7621226.78563964	322426.44320306455	1071700.933329435	1196031.3034525944	7726622.524564142	2167552.955010518	12870150.904525522	2402067.6079410943
P00013	P00013	GENE13	MaxQuant protein 13	4	30	4	8	182.93306252698017	0.006924197238243866	174.54898045859244				2609125.5999770616	28651467.927372813	11631662.899486601	1854283.437647426	7443103.701179157	40218251.16083636	9272830.303536715	2525328.104744109	1618917.0289690825	1761372.7080946579	87740.04180551956	453398.0062264359	1087261.1227677453	12188736.499623535	2603934.350549834	1378262.3471030707	897314.0567524441	4264264.966208	1013476.6416431819	9113119.657477992	3558535.21813701	23789163.975459266	7689895.604248891	8293089.406482188
P00014	P00014	GENE14	MaxQuant protein 14	2	28	13	6	134.71667894744195	0.001967335997011246	110.8923847002282				31222597.908353332	3723120.7706833193	538224.5378904968	15198482.818068951	2400040.151862271	346807.25552586804	703670.2696588034	2102488.9850370283	3492152.737327833	2426436.309445909	456687.6734794572	2044395.4047663433	155355.11254979362	9167890.349530315	1178198.8985786962	2051631.4604839971	5464181.272687842	17361874.60688783	173555024.80429858	13140025.93058082	6168768.169959947	7628658.653253586	3617408.286554998	7096455.998160021
P00015	P00015	GENE15	MaxQuant protein 15	4	15	16	14	62.25763662673229	0.007852486930255476	225.52504144663823				14598131.59936622	153532947.84458798	446763.67041435227	906118.9498149978	985719.9012148028	3269976.5013814527	8899485.59515572	12633864.602454836	8552420.286078585	2118576.2776046665	2278958.2292750715	4838554.283298335	547344.6654389035	2956893.7228597966	712618.6492605447	3245799.5694361017	1779247.7346045014	50703725.18526799	57007547.06440429	2272730.4295850703	39290170.22935164	2987295.12470177	2232551.836876417	23151005.017120514
P00016	P00016	GENE16	MaxQuant protein 16	2	9	18	18	25.8120285248156	0.0022065419362086738	91.08939665171098				1374277.3471142673	1056778.2199315638	10182145.477208873	671528.7533349826	4608431.367597779	249043.29971897442	1778619.8190758321	2554529.133708883	4362378.4414463425	10785132.327175457	2466045.412375761	172522.38842274767	11658589.384334244	495304.7633359707	505933.25632971094	1745089.6798088846	524075.80141651817	33213708.288936306	9441666.131031126	7596694.21538867	37845234.73398562	8982660.705572253	92769626.22634247	1821517.0025207163
P00017	P00017	GENE17	MaxQuant protein 17	3	4	13	8	135.49650398683042	0.0017554691762068986	197.07916848207165				28642274.93420084	4844783.971652484	4683600.03523089	187122.20404333106	2480965.611902052	10580717.81166278	102499427.07205874	190689799.1194456	276990.3048181964	5997534.239760933	73097.5253971802	2589276.9194573574	877736.0043755373	681749.971327196	787227.504811774	1049322.0686837763	3684547.7831589715	500700.70472344826	84747718.69131413	3599825.8673992227	6241246.437268345	12586272.756788427	19069315.97091929	13198469.407992171
P00018	P00018	GENE18	MaxQuant protein 18	1	25	7	4	30.63276023514007	0.007481918991211088	74.08949048893142				1385223.0294646965	31380235.57560389	9064900.4020054	5296092.8118939595	763194.6600039621	1230811.3001738118	9272405.772647759	5713334.098126641	322069.07499582117	111429.78163446386	829801.6590873529	126835.32151298448	206377.05300583647	3965159.8248606557	205836.590569342	367119.11391577276	5342791.100834611	41313089.013958275	19174881.99118278	31159529.10875904	324845.9866010356	2055548.611386976	12413215.91678891	1480551.8185930154
P00019	P00019	GENE19	MaxQuant protein 19	4	23	25	4	149.5635322321787	0.0013117538824896503	215.50405264835237				6862345.290320551	16585508.066404263	2997897.5621412056	21554793.780291203	9115375.911550367	2572008.2565318737	10085214.185083749	18843360.645094976	144243.56033121102	31988035.90480495	231776.46916360073	3208500.6569879036	8355551.365867798	1151913.1613885122	2007853.1510216277	1669791.549928771	1710905.861032822	22884223.210374277	747689.2144475232	9736918.131044663	9700805.684950372	12658662.898706853	1059197.0228105276	70186340.45157053
P00020	P00020	GENE20	MaxQuant protein 20	3	4	8	14	74.05151167414769	0.0010482670674077355	73.13496426193198				2473199.8983897567	12254231.613606455	488576.85946680873	116881.80425824593	13915107.353084713	36078214.70342834	416817.5949184292	887466.1257393215	22866545.81379909	895971.971703629	4868683.270320894	5590805.73466683	1284120.010343909	274115.01808135794	10418491.680119555	1669979.122900482	1647375.9870801433	1557162.3542967625	9123795.897228481	876656.8864753132	201572914.27545947	20377861.392311905	29067610.017319877	5875368.182278769
P00021	P00021	GENE21	MaxQuant protein 21	3	22	15	9	73.79501765436686	0.006018917648576664	245.08628920973308				672056.2581883139	12863307.827000353	15189565.554407299	2869012.414657644	7981565.728866253	2788546.254446323	472107.6484108194	979917.1922099052	411239.41476817254	1980830.7363564314	834691.1020508867	3844857.975587386	346824.10809319856	2607309.1099934247	1123455.0838427725	6755627.79117121	10129008.835226582	24354479.267337464	429295.30541758414	16210330.176360203	7300461.448553518	19957818.901721656	11150946.02010353	1367481.7227144423
P00022	P00022	GENE22	MaxQuant protein 22	1	30	19	8	179.39001001607565	0.007473625334985829	222.91168836367862				3218721.625661621	2579604.103408681	5773996.741729624	1560343.5238125448	14296445.725910785	4611452.711871965	14478699.75332212	7615128.57332325	101121.740422692	6979008.937792565	1207571.55995699	454273.3228860699	5212786.250675802	491740.8978968218	688896.5941661218	844869.6108373503	6502265.899204336	1794702614.8879235	35043825.61269827	32720158.762922417	22121088.504288036	2545076.8664757134	26580897.446874432	17969228.143788997
P00023	P00023	GENE23	MaxQuant protein 23	2	15	22	2	40.674411754798776	0.003931238313411436	134.8344125777648				8686225.043268705	8643331.614698648	3516074.1132795694	6535859.666139355	21886937.715175852	8080601.077674609	6007215.1084650755	10003461.368814025	2445197.2583373953	592737.6709132976	6519064.152897957	140276.85012883408	4485871.412639681	538801.6114279937	20541934.230673157	1508204.5589219565	15863322.960343262	727566.9683552855	16411013.343185464	28697368.520730484	1291581.4811118117	1914838.9416222803	9768645.908883935	7128190.735836816
P00024	P00024	GENE24	MaxQuant protein 24	2	15	20	6	103.87418614324557	0.009978055943213694	121.97507238171691				93031357.56030528	8883909.336489623	2338013.224060999	6688430.637521508	10218260.490563512	1416469.422630715	4255293.3992193	1587103.855543761	3053947.9035699624	8371372.885906452	609919.706791418	789327.1411450861	336548.7192146039	12452992.635592747	126552.63339605006	2098205.0758438595	7857188.224129147	837466.8200535453	10755071.774868893	4458776.7742165895	161084755.89731175	7511595.067560273	9752217.37567978	2189899.3168179384
P00025	P00025	GENE25	MaxQuant protein 25	4	2	8	20	177.71192000830305	0.0010370769480040065	102.12932061636566				10791719.113472966	1757240.5426718304	25755272.56753905	611129.6144532481	5088425.7404191615	8365201.401955325	47673436.51664222	2508219.368106998	334597.2847510876	174570.4148611557	2746941.381459448	4888995.443304831	588298.3249985467	173248.63685933215	1619548.7767242354	232968.09240894378	29134148.653249666	18495978.91710216	13015629.511625765	410924.7211178688	1363303.068487006	33389652.373302173	4983911.036246937	2766740.2413204983
P00026	P00026	GENE26	MaxQuant protein 26	3	20	16	14	190.70062448360824	0.006129115728209626	77.05083397747183				1747994.5610011683	1392213.1611925769	9219416.192419427	17329103.644567363	2993571.6041509206	122531959.56237228	5851152.370584938	23120432.63597356	3408227.0219080844	1090782.161524713	406910.0369342919	277458.87176746153	407314.3989225691	223883.4035631824	470468.06759303855	517932.79744955554	50056601.89634839	3329503.877822047	112040729.11349425	13268661.742615672	16956166.330285355	29390802.379979927	1448306.3141808244	775948.013960222
P00027	P00027	GENE27	MaxQuant protein 27	2	7	11	18	67.60860949398582	0.004331094284617247	128.6447687203886				1962863.2456272608	36157133.27420788	13226873.503557356	13200264.300184501	4790375.8394409	5215199.057124759	2167737.069611614	770237.3527168887	5868123.108180667	1119731.1195407056	282078.03558796574	4026816.8736419235	113764.93053022947	28376983.190209232	1015464.5205128038	1203337.395941065	23235061.24266662	35082649.735415325	35914440.6999477	9400002.160051012	924433.6048382559	2744977.6312384545	3952527.7466854556	1077304.3751702707
P00028	P00028	GENE28	MaxQuant protein 28	2	23	17	18	117.14646923851917	0.005401323617358182	259.21572527358796				2331654.0719622816	1673726.8014478907	7646014.926714757	2130835.648624258	2781168.5950950915	54332250.6101855	1952588.1190677928	5256276.874752617	4700856.581994535	344990.94633910165	3720801.856806877	1220036.8095914742	562598.6700263317	2669499.2016977114	879798.5743055447	392317.20857378346	90279884.79904085	33196014.220207535	2058025.6683714392	4094896.7608459317	40718674.86107119	2105581.033357103	17697461.926136766	3071877.314387082
P00029	P00029	GENE29	MaxQuant protein 29	3	20	12	17	78.16952235754495	0.0022311127333952273	254.33200256246417				61957742.405148506	773759.735922978	5412100.350253934	2723500.3445660756	13415949.790065322	3821958.282233808	702418.5606791591	3975903.9806802724	304739.9067734086	1398157.8544434782	3207158.3245815183	1540948.853378369	820986.209278528	834981.4940000849	49277.35581181636	148950.21141087008	43325483.45439244	6755291.60695846	12460651.647849798	12223337.187960286	57375016.90031191	9074350.12548611	749879.2762586055	955677.089345918
P00030	P00030	GENE30	MaxQuant protein 30	2	18	18	20	116.00622630510586	0.0036997527822530477	109.2119335517218				1003456.2043676547	33240409.430544954	1375935.7330356387	3333785.486837936	20678831.088099282	1246672.9500672352	3425763.7594735357	2659466.054889065	904687.5980240674	3293296.752819196	7038549.60769755	850236.2762234319	593716.6570977995	682894.223915286	664467.9640116808	8558776.9560765	754928.4583380712	2203867.9402522645	1337455.8694977965	147769393.55418405	4665787.241713611	1621993.850304743	22532145.620879754	1243854.0457885587
P00031	P00031	GENE31	MaxQuant protein 31	3	18	14	15	87.67609482870174	0.0011190902155030968	206.92563878426392				2955960.8823726536	1667444.5722160903	5358092.240154731	5534415.559413989	8338896.709757995	19280640.921574436	409208.8133972486	417178.53537623445	1485365.687710786	501590.3864674717	1001188.7628123274	2617273.6520394823	1415120.4678493482	1205079.7451734457	37365.91280409754	427692.3640393644	11368710.91941434	8036505.618865458	8436600.720754875	30493980.846454293	12606181.382056916	5102107.695254622	608287.5837769767	23535197.359840833
P00032	P00032	GENE32	MaxQuant protein 32	3	7	2	18	118.31786743754034	0.0045448586437914894	176.62644286149828				6689803.372975015	6481251.714011646	431053.1105459792	1229566.3545362093	11935368.386548756	9788162.351221971	27146701.048627954	8484762.248036638	687740.40143439	8590248.854174389	864799.6324380005	1747658.038554827	7983100.140031312	16638820.462238451	134365.77914065888	59476.068402318735	4154430.645743662	7727342.947329268	19719272.28516014	13233497.355679875	31388729.907099593	2947141.6048619174	38849976.70996107	919288.5329488919
P00033	P00033	GENE33	MaxQuant protein 33	3	8	14	15	109.40639973718521	0.006568882858967366	123.11145376000941				241983.9935231873	3172921.372909467	24544134.509522494	44085751.61228449	1434003.3280280696	4390760.566473985	4234249.441874528	3122669.6824900946	1201908.287144582	378227.9710011039	639999.9686133586	172989.76322054103	562329.6934774723	466688.61911256844	1459566.3504028313	1145058.8388602147	3514759.8972436795	28820669.31253534	70964143.67995696	4341456.512754163	63135563.98060119	10283212.225950465	743893.9867299788	3239160.706306444
P00034	P00034	GENE34	MaxQuant protein 34	2	15	17	3	133.3608590222381	0.00956842452395269	136.7247881168435				4083926.9065536917	2063299.292213012	1284255.8660676586	1165089.0631664083	5827449.392971435	61456.66604803628	2637030.5160059487	936674.9376794465	1998540.9244113087	2953966.0501766005	415667.5960486602	5475430.170584114	3388187.6760486453	8128318.001628111	1226443.5543203657	4945775.073641827	21566136.994863603	86839140.18413489	397763614.1814969	44239015.73232716	13955434.693320097	9036178.940148223	2615420.70328854	12083964.039759705
P00035	P00035	GENE35	MaxQuant protein 35	4	6	2	18	38.845994850568516	0.008763932582860685	99.24712553469945				2443899.137880462	623018.773339054	5689170.6769864615	583721.5800540012	369973.0316926061	2353558.0394903705	3501296.7492635357	1570872.3850534866	5484959.482104728	2375965.652957448	168335.7867616146	415931.1057915634	367219.03552703856	52645829.46672146	320491.0661913528	457951.8623555261	12852835.101432124	18191201.069186028	6198800.245712844	67393595.2833932	965465.1520913065	31537434.834356166	2762699.1073203613	93749025.62178788
P00036	P00036	GENE36	MaxQuant protein 36	4	27	4	11	156.18714032576295	0.003387592537985964	156.24031983528255				1682597.316412103	5023541.437549062	133644.9495849882	3332405.8331781565	11110891.396294089	5087442.062493964	8096917.997492958	1751214.5036711919	1603452.808598274	848902.6544022501	732649.0838258357	1783076.2592709262	226715.85189586904	198713.91168070928	78500.6808843881	261077.69523799344	1324615.195470432	12832044.920474298	5215091.853498916	3568935.089860445	32393069.826220393	18173042.494202133	63469421.67286814	1683251.785835041
P00037	P00037	GENE37	MaxQuant protein 37	1	14	21	2	15.608180706995233	0.009251983645902673	124.71331704801274				4481261.885671234	540251.2576661647	317865.521801551	5937152.661162659	9325616.505310148	15903743.310131062	4707085.9863098115	806561.3194858539	885300.0701766035	66231080.14954805	22090.77244265459	6938560.804653662	17218438.1350817	89108.30080606756	610193.1011965881	3110057.782172039	33001002.17490067	5643700.8546085395	272260321.77302533	11787589.005836604	14733526.938870993	17828254.077724077	5713724.764064887	7120029.142736007
P00038	P00038	GENE38	MaxQuant protein 38	4	20	15	20	64.99319034942911	0.004251069298963881	282.7963684451821				4047355.8999359063	1708992.3815111727	2088881.648413912	635180.4591845444	4176066.827351832	14969940.923612325	11799664.231016042	12786106.03327258	950256.0797827755	290410.5436743348	711613.1696328458	2747555.518382874	2959344.2492911685	885828.744243502	409831.10964152974	1498406.7017588299	752367.3509154601	9649853.662179334	29085297.2646697	2201536.4213387487	23589177.973812114	5137639.526994153	5101796.2735716915	2447227.7724362705
P00039	P00039	GENE39	MaxQuant protein 39	3	30	14	14	49.1856620645331	0.006264333971763891	90.61494647391528				2380299.670009131	472004.6242085285	16036352.870835835	5020598.763663099	1319376.7693237304	822164.852423963	3521786.9463904877	3563841.240692274	1029054.3533494307	493985.6513399784	10446709.264356907	1359710.634716725	455694.30613876635	1516512.8578208333	2472360.2989474605	2996596.518869293	6919969.617252234	6180179.586347155	1848778.681992594	7052846.154184151	23093841.739439655	2933356.168898061	21763254.122179125	41230281.23053346
P00040	P00040	GENE40	MaxQuant protein 40	1	24	5	16	116.97194027082824	0.0035200991849049733	103.1704526380575				10196239.232737081	12943119.793643827	225923.87073113458	20694235.14556224	1085683.7124844452	5385426.931077957	1304064.9039489895	4250686.712108066	263766.9692209824	1031535.425172683	1548451.8220195337	3772355.5079627405	1151304.4975493017	586689.6477592599	86676.17280307823	147371.8315858928	2279799.5762230665	3761320.1988061885	37791268.04719269	1622598.8499613365	8125222.779096672	8839137.999486897	30766288.694738105	3871657.315989352
P00041	P00041	GENE41	MaxQuant protein 41	3	29	2	8	168.31450014885615	0.00854068216707099	58.43999377634158				2268952.5163665363	14293711.623992158	17538031.188675396	54990570.83231623	39464082.091223486	25349249.524844594	18507513.417453725	3647274.8617076734	414979.8256844292	901526.2138153698	467433.96311979205	1869441.731982049	320883.79228739836	900174.5012421062	349755.7505425274	302706.403161454	42404647.53195598	6193873.806227533	40600766.51828354	27061172.935416155	735928.8963943163	64470794.87395233	6548852.598456882	6190978.000272193
P00042	P00042	GENE42	MaxQuant protein 42	2	19	6	5	71.464596998455	0.00992469344026905	184.06807299612052				718912.0035559991	615179.9724468067	665789.2304744219	10035967.292860832	22677895.186815422	4883536.207715	8125288.028482677	1360368.6622828715	10087527.849416371	8662714.018264784	1372137.3482563263	321655.4826110663	2888684.5187878096	2596779.3749540793	358800.62249843456	1196482.09462968	24810269.27673689	2040149.9424977142	15560224.85903327	1737221.803887375	52006214.99213668	3983237.414111983	1691416.7654952519	8350673.92921178
P00043	P00043	GENE43	MaxQuant protein 43	4	21	15	19	32.64595018084586	0.00967129132754104	257.5008166428969				8941589.022880716	1302292.1092410404	48694552.35332092	9931269.685595242	1141809.4579147627	860406.4952802914	410645.8696372143	612802.1680894884	21958961.304481722	2857964.930326722	11290250.132599486	5200744.3120308295	607854.1807263867	38430431.14354899	7913119.935735521	511520.7344528309	36504904.94004582	4427410.458832563	4001342.682125307	29367096.017601196	24928383.308071814	14923702.849792229	2575780.221806048	3015610.8504089657
P00044	P00044	GENE44	MaxQuant protein 44	3	2	11	5	33.73721148981559	0.007500816421026375	208.47102636740553				7639358.772289368	4651719.766424445	3571846.3759537195	2895999.374855009	3655751.0905358572	4057556.6404281575	22228459.70487643	3253233.929928293	5345425.256983945	2095479.0774778777	6512910.11197679	2781961.864118232	9139940.369597346	2665967.2162085003	7480426.283887602	2785176.6871939725	28132029.11140388	25602245.808471315	3520736.181388653	5437128.646479199	7223936.553541238	109959597.7235395	45975295.744384006	25582104.024376303
P00045	P00045	GENE45	MaxQuant protein 45	1	25	8	8	176.1733305225642	0.0037969904444236013	139.9469685722604				16976767.42448535	1323164.8481955722	8284477.601730991	3472124.415282466	5896890.824414917	458681.5755691317	12006306.889081376	4040358.8142648535	118281.37455557565	212274.9707144201	528340.4683574585	1280987.9391460589	750098.6432921583	488585.96377372055	9866345.925567118	48129266.92617486	265803.96769715106	17345381.16925669	17379262.811700724	6362250.71873228	10672691.75734958	86804263.17162251	11201242.353418607	14907529.85582972
P00046	P00046	GENE46	MaxQuant protein 46	1	4	25	14	179.28853992514328	0.008057855854393215	229.09692792559864				3019599.885220429	2641233.991586028	2620376.0023034974	7378863.623350086	6290209.628158618	764690.3988725422	1082618.0178961852	23881854.553835608	220100.48291958	873505.5793275135	244877.33334921714	13802632.365574352	1229057.994298988	1300614.0674239022	528303.1411884598	3414503.8542510397	2088754.8495342606	11099936.284471817	13186129.426097158	775394.1397889256	12300204.97951279	772736.8212474765	2682394.411280111	585557.7271450779
P00047	P00047	GENE47	MaxQuant protein 47	1	10	13	9	120.84152622265616	0.004371970480979787	276.09113819103925				3686379.512832819	3636874.181056067	1210032.6111306562	873534.1893491357	6329650.831191399	3997377.5895953574	1283861.8433463743	17226405.676009003	2173363.0299523785	658007.0506983225	24158888.17061575	918522.5756278767	479560.2929919712	143849.7487532587	947106.8714933326	963166.6524928604	28501463.423057273	32680284.87520956	4826341.390651731	20684139.76927668	1551171.2751286277	224647127.8826056	592085.0181931449	4920311.765839849
P00048	P00048	GENE48	MaxQuant protein 48	2	12	3	12	71.92050180703887	0.007402259381951968	285.2248967236604				9619163.891596904	21464959.30323085	15778599.355150495	19211509.16981549	16105420.524018215	168593.01859388975	9046668.063350957	397328.22003239265	2357568.511551235	171432.6343276053	663000.9958222219	2943353.3104887507	6594108.146352756	6268793.760257238	3363021.259165005	4622680.234008576	3578948.531062764	28230016.224483512	13410293.809936922	32594999.67350581	3395682.2625129875	6765507.296399396	78809307.44845079	183921.67095366964
P00049	P00049	GENE49	MaxQuant protein 49	2	25	21	14	133.9653820793024	0.007736302949828617	74.37340798754053				10771567.968032278	5153561.080729819	1239302.561202398	10099861.907309951	26426651.311072126	9888386.931084154	1720467.405948155	1681462.1423414657	2462273.1993334163	530411.684719905	144178.0563304932	31029343.79447336	1036351.2374055879	2643196.2074198453	3686672.823916113	1658388.8406331595	2729631.8101429446	4172050.0711247446	1336072.8318945148	3879041.5757296393	110339.07897515647	1724477.6069796705	8317489.966239545	4849557.1935455855
P00050	P00050	GENE50	MaxQuant protein 50	1	24	14	11	55.25659444620138	0.0040180450513380775	214.20598194520727				400810.46366245445	3097747.3779246323	586456.1281047214	9844526.92454145	1749764.1388007547	10378828.581905557	1553746.6443685812	1345485.6467863934	392067.9050397997	3192920.6064041345	417192.9443170065	2395273.34256519	286651.7427753923	3569311.4225399503	2473905.479745184	2932386.4086314794	3983571.789522188	2802843.720536657	11212270.103269357	2785988.2063410664	1910134.1314204638	12227901.60999431	3786465.0797634246	34824448.35839426
P00051	P00051	GENE51	MaxQuant protein 51	2	5	24	12	105.03615544644843	0.0020515691473023843	117.05112565486482				2082729.0394833612	5510446.709029246	32319232.023931302	523390.24637198297	7220483.703158027	3854013.1644933796	28233196.016611263	89072047.08226767	403679.5048403639	636126.1110630927	787208.0994002847	166800.80374358565	669957.1805610737	62265.55482760264	1142430.2084858278	3241423.618649552	1287255.5978242957	403885.3011735575	1306613.1300777888	5615080.557765556	6247112.392330716	8479359.854389042	32187657.944786936	2920653.4979178566
P00052	P00052	GENE52	MaxQuant protein 52	2	4	16	16	85.32754491987828	0.002359809416014588	96.3922094756334				71677118.37081245	5347309.229292378	2858286.0441829255	1309282.0992098537	3315682.038383235	455130.30224879645	11204985.694742136	3761445.190330979	724398.501260138	1169184.3928086816	66451.85266374685	72717363.77881095	1336988.8060650981	584467.5748633213	3434447.9862524476	1529411.8563717136	48743400.95597672	670837.9093850227	7232470.472025431	7267304.550429576	3336016.102539654	30016472.881677132	101741115.63189767	4485971.1987994425
