ProteinID	GeneSymbol	Description	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
P00042	GENE42	Protein P00042	3328443.092157628	233879.94667684837	4435819.761490963		5852074.636112119	53396437.17133743	3432627.624721602	125278.9817853841	82311.07411113282	441381.6030334153	1198144.9690036974	391946.3135650922
P00043	GENE43	Protein P00043	13805467.008258242	16230706.754098432	2690155.127764182	8086917.989475919	974145.0782471494	2319748.393552392	9274188.635001883	4077373.150085652	231643.6850327509		977242.1448007291	6391103.751968763
P00044	GENE44	Protein P00044	5295791.465958355		961529.0347415066	1351053.297869304	15590070.49535161			2646800.6875623986		1073401.3792738237	399992.9968615674	78362.78351492659
P00045	GENE45	Protein P00045	5723119.045614471	725255.7662505159	729286.975066457	274607.99156998866	4644534.771154764	44124637.65563076	1206744.6061870528	1687824.2418220849	7695092.205834791		3645582.002386458	1083462.3520876395
P00046	GENE46	Protein P00046	4673525.547416449	1376893.2801974723	1504241.1255891144	2549479.7673626184	12154492.181080615	15285389.081615327	6556500.173051238	4766889.146369992	93633.76328619118	289886.6677103748	599210.0797455012	1550618.6048803066
P00047	GENE47	Protein P00047		1836224.5786691892	3621983.719530666	6810306.778736274	1642284.7624886483	22315919.026134197	934788.8439123916	614113.7459622343	1188477.3853700107	5807075.098223105	1491054.1931417375	921307.4161404714
P00048	GENE48	Protein P00048	3756782.180058581	14469625.348305814	2949749.394691477	42401957.37813605	2203518.482315937	1517274.2641727692	535368.7875492241	402458.0281593745	1153702.599355775	1681954.0725432143	2168591.0975175807	2011713.6533093713
P00049	GENE49	Protein P00049	6502045.720633079	3700824.929437404	9448463.635649676	25841709.385077793	5580357.580155191	14021242.338514939		268097.3996177883	6146627.901826758	1043666.2848226834		
P00050	GENE50	Protein P00050	9995917.244877389	25800377.860997327	783789.0991573047	1886278.955910598	3249458.3079010774	1550506.1922768175	1647320.3957787622	2655671.684188465	1977703.073390554	3271103.14170553	1982449.3294663718	649196.0142612029
P00051	GENE51	Protein P00051		52924548.6765322	1416148.4987772587	1932846.1201197773	10168554.338459883		1233426.346941953	594555.1267942785	814870.7967330823			2436309.3999681533
P00052	GENE52	Protein P00052	6066215.631978479	3268217.7759619444	3568700.273127868	8239600.415034745	34837118.372230776		651262.8124219651	12441185.224015588	919239.047823312	345535.34287237783	118286.5558503629	746148.5257097722
P00053	GENE53	Protein P00053		360454.64081195183	1369834.3814585395	1321894.522445233		956708.1958292065	3957387.561935161	53729.01452780932	1490761.9297738965	279670.822704712		6051703.755047508
P00054	GENE54	Protein P00054	5155939.156136454	19125568.794765107	12200252.790532839	4482509.256813478	1158647.7301876815	1507256.879495363	2839568.0627017585	71570.70019540614	1843765.5832250565	1741284.7577713227	46712.5253133749	584124.6994845239
P00055	GENE55	Protein P00055	10121999.966575367	305198.8019650768	1256123.5845656027	5262111.981921527	264438.3160821553	39449277.47119383	189534.18677063755	5874315.084719095	798414.8434123915	1158027.883926134	998420.1800151478	125926.27747115605
P00056	GENE56	Protein P00056	999437.8282639936	50270254.87053561	29006256.818515405	9882233.154439406	5951205.646542377	558131.8508542611	999646.5657477274	1592078.3041242682		450207.98264088295	225551.66128583747	301179.04436797317
P00057	GENE57	Protein P00057			12918007.792297412	1634805.337983313	2097923.4138662284	10348778.481558075	590964.9343015013	1007294.4062242798	5989678.1714385245	4626888.5983184455	352753.0284414345	1084681.410857551
P00058	GENE58	Protein P00058	4101547.163909351	674023.0751007374	569618.998606765	457188.8521434178	27618502.339415632	7323264.334933055	3869038.1808080655	42183296.98186434	678476.6417385971	170763.76137899316	4097559.056638457	6037421.584937312
P00059	GENE59	Protein P00059	996505.8995524367	4980251.226404927	6067080.490731174	26255862.296173595	846647.9282110995	1577951.9356523703	12095642.408505399	608237.1000026724	9156475.197699247	220603.6174560138	145348.67113000862	544744.7329387731
P00060	GENE60	Protein P00060	1918807.5846326284	4677651.280974012	12528426.458827814	1017910.9039752622	2076477.055333861	5248526.99536694	1598658.4601897984	3260731.6158875097	111495.44126389839	2447693.779152584	778902.1471980342	226469.47210500218
P00061	GENE61	Protein P00061	8689552.343186807	2013960.5713712291	4194367.988319429	2068573.5236168276	625466.711864931	1272585.9941216698	639248.7482383423	60192273.20558339	945171.4745758156	36569.65912467572	4731602.560595396	2189875.284726547
P00062	GENE62	Protein P00062	9479086.752117526	2572019.8768040496	703132.3867378321	10576373.693928726		2018596.7356941588	26897779.44338807	1871568.6027084452	1404542.351322674	1981252.3572516234	9470382.032212207	6484822.013346897
P00063	GENE63	Protein P00063	20892862.005425654	27404088.190380543	753476.4908325139	216955112.13117152	2052258.481493315	40839300.945322104	14753189.90377866	64544840.07994109	2771546.121188091	4725618.678156029		5951605.140852444
P00064	GENE64	Protein P00064	1527337.8102098685	11302755.603504773	10028068.704273142	1781166.8021697027	1724159.9011102645	1314928.9214390898	8896749.224173063	1355396.0695538986		12416142.677552376	15838928.71520225	615363.1258234995
P00065	GENE65	Protein P00065	1636839.7519844337	1575314.7129081667	3419651.414315191	1755234.384741599	1231990.557948545	8671556.824266007	15945023.177443713	5849677.485760669	2133617.461600416	9263643.192419639	4228549.5029369695	121443875.48344685
P00066	GENE66	Protein P00066	29988232.775925476	6428852.98571189	1853280.2906910374	1199357.9545351223	34417334.62431828	13178547.015278934	2801757.337549559	1450647.7076922094		854530.7082724347	6632727.644160794	7696733.678106219
P00067	GENE67	Protein P00067	19827981.455118503	7171937.795714766		870926.4126001949	346843.83769174427	2639349.282070781	289612667.33785015	29127904.74045066	234738.6289620061	2965201.62626352	26151049.919701234	24540167.02103089
P00068	GENE68	Protein P00068	4555527.202089063		83027159.55443956	5612586.903906998	3238677.753173535	18438486.806707088			640847.9324388796	13475467.3951629	10153531.115232335	10512684.43148789
P00069	GENE69	Protein P00069		637318.002996293	5495530.189881938	994016.2227776013	5900724.339468264	1842888.562599613	5289754.374663321	5584982.9479133515	544317.3486318046	2133091.6984953396	1031774.567437859	20136897.57894313
P00070	GENE70	Protein P00070	4335747.48881555		15883927.774001602	2758833.4944955716	25099875.090053495	6834921.190774097	1705747.6949009963	5580331.983193446		17175551.38473838	2974622.1128759617	2832561.3179847943
P00071	GENE71	Protein P00071	4429329.556208708	21033719.992921956	22609755.275322463		8830522.063284256	1331596.69793194	11714415.193064032	6604365.457480377	8802590.757384935	2630390.487757524	175666.98222558128	1289980.0196104455
P00072	GENE72	Protein P00072		18510231.01319878	3902215.2905907864	3293289.994802871	3255351.0988645735	6056995.081526537	2680790.65817272		1356122.9975557756	3182750.8434514743	60906215.37775011	6792697.069692504
P00073	GENE73	Protein P00073	654839.355176221	10003114.128097799		2269657.7134648184	9663567.676195314	13820297.667351946	1607981.852400571	5261197.053113112		10942021.406287674	13899664.323861096	
P00074	GENE74	Protein P00074	1030898.0858418992	150700.22514447107	4912848.987980064	6341877.408703937	3844056.5725891585	1755042.5399722965	13508617.55697394	9443971.734094493		11977515.70755788	5062442.0688817995	742003.6545239853
P00075	GENE75	Protein P00075	581278.4240277811	3964233.256869578	6853981.527228762	3678429.210237374	3495942.2325622695	11216026.847575724	6036991.005379802	3556501.9045450757	4077967.5511619705	3801061.9505680306	15735502.367879359	9249290.52085575
P00076	GENE76	Protein P00076	875308.0056274836	21737316.866471723	8248373.813108058	2821472.505098004	1164792.470564907	932611.76094584	36817944.365462944	7381297.129306853	11716032.875464221	1459902.0899658734	21376318.27032356	89471327.54531814
P00077	GENE77	Protein P00077	1932496.2113325682	1993054.038955068	4638205.300652326		2535680.295309335	269859.24378789583	2292298.18656686	961547.0698997078	11114499.32092058	2500361.6573040453	583664.2663946699	972898.7555275811
P00078	GENE78	Protein P00078	1088450.3796534035		3766763.3949717362	36630295.53860832	44054449.70685581	13779631.677392771	2937622.411360022	37524737.62499379	35749505.10928176	18223107.97000855	1852114.1920438511	5112300.169631589
P00079	GENE79	Protein P00079	16857807.32632511	8563685.89768633	1657441.1790949784	6716317.798530152	3921518.4812236857	3349634.5882579572		1527192.9001568255			1700580.9182595005	32035255.806562018
P00080	GENE80	Protein P00080	6661124.143740901	8519938.782034801	23855537.63717971	5997666.585949396	10919057.988828307	1486429.574970081	636802.0443223056		32821758.69788527		9797593.383981202	5654540.774520126
P00081	GENE81	Protein P00081	316530.47667505266	2212486.3008976206	907152.8031386135	1337511.2296640957	7348723.246545724	8131441.017643433		26609735.062752068		19207515.393343918	162746.17451662046	16908131.690698892
P00082	GENE82	Protein P00082	2555094.9840539526	7112070.040850988	10977976.44651061	1391278.028194498	3661708.9605327137	39436826.114158265	11487738.696858117	1508302.5218843569	2309525.6988277216	8642296.146199439	549579.4907337719	1808883.9144320937
P00083	GENE83	Protein P00083	16644251.323687378	1887195.940460708		2261550.170105572	1251507.1900476224	5217023.580061509	1248761.8319965687	14688911.747856174	4786908.998241074	26089003.45137208	30900721.784243576	1104571.5995655258
P00084	GENE84	Protein P00084	2015298.547815326		1086973.8336816193	1113830.9710120503	1850846.0683124813	5951531.710451455	5576007.228176154	1318211.8807119273	15812167.602658765	22116557.179304965	13179837.206046235	824754.460194999
P00085	GENE85	Protein P00085	262411.2867450814	1994330.6088125776	1414810.2117238648	486299.0707074293	21437504.87654166	1825503.6190512136	9529315.58988012	442021.35438903933	1585614.4292001587	5947245.936383959	2024942.5084275904	580569.7196615853
P00086	GENE86	Protein P00086	7404541.409450902	1111688.7875164188	1206939.4847133316		11549233.842392046	104849715.64960897	1045483.8434856154	10166168.805132871	981981.058162003	4552138.402578686	13934925.91302014	2552591.3439636915
P00087	GENE87	Protein P00087	7841301.705078925	720193.6388829281	4385240.821391796	637365.0196828255	17944211.35351704	4339748.041736184		4544892.098939382	3883042.816926037			633216.7697750925
P00088	GENE88	Protein P00088		1641262.1356180133	3621011.1053328617	28232234.577603992	486730.31011178915		7601845.949600432	7629328.208749743	1070381.0803494367	2018479.5595542532	11574553.035648013	8423615.296340026
P00089	GENE89	Protein P00089		143881.13608006667	4017094.875793876	1977887.7891577163	23695825.91803982	3824273.609636048	15140801.176093414	404751.8107414106	7173870.714817663	22572158.085453156	4471716.458671646	18927063.627191518
P00090	GENE90	Protein P00090	25813065.19138796	5262514.144646096	4848525.679140745	8218112.77498679	5005713.588854835		3751235.3775442434		119374476.82948022	9943918.24214429	5344756.188282059	35469877.11633404
P00091	GENE91	Protein P00091	989917.8563709469	1617372.2657543328	57257020.56241342	1932427.4635379948	27623107.409640096	219362.97917556518		21958739.72870591	8167261.847603641	3228117.759794106	3359149.25356355	38204061.06528044
P00092	GENE92	Protein P00092		1586925.3576876826	9924901.172416229		2244063.146787223	4248730.048655633	7386548.57684035	8015004.689453908	5917823.4746996155	9697025.289987402	4563385.187814893	1188119.4923318103
P00093	GENE93	Protein P00093	16025285.194831327	2752340.1009061765	1009292.6722597117	7322470.005186141	3001612.5542524285	721207.1025464933	10249081.51045925	1640553.201156149	22166831.917869095	8912379.239558516	4994014.149784314	604740.9025032233
P00094	GENE94	Protein P00094	1936667.364659643	594421.9361632124	3516235.892039727	9479547.012488548	3230731.333446345	4209156.036797416	82006860.97236381	2026925.0441227679	2245629.7810907266	6335366.440596729	124846.12354121762	10060691.383619998
P00095	GENE95	Protein P00095	5176960.010531415	31112259.430564728	13233322.096378613	8390948.673283044	163125.81540041027	1064638.2622529592		1073192.0786670572	985737.3015092142	5386240.999737766	1747041.7093384885	7586885.847146991
P00096	GENE96	Protein P00096	1753160.7311129898	18225535.36072537	12273426.662538636	3801946.67229051	491374.48003837815	4264820.516417677	15863297.354236156	757836.3948501619	10804324.131747058		4765282.378258335	1801193.6481602006
P00097	GENE97	Protein P00097	4194794.293345059		3459701.459408991	2479287.205705521	4763240.749627016	3037937.052568018	1127242.9727583006	20947468.971947804	485884.99424513767	7671554.719851433	1797096.7699233887	3109506.490232985
P00098	GENE98	Protein P00098	269289.9238751187	26244913.460492395	4351872.209032935	1628409.9670684838	1279115.6586467098		10668029.703322284	732606.4291696898	445254.4037184072	5656987.792500699	8820964.221307885	1041288.086860187
P00099	GENE99	Protein P00099	4314068.697016148	504483.41313080624	7717219.716534842		4036618.656430995	25456511.408348072	25406978.255247526	1584813.8962276578	1091802.48710866	3829946.993394326	863510.0481476273	5912730.529840855
P00100	GENE100	Protein P00100	28839092.853159636	9683000.576866947	1382765.5016978937	10449836.799572967	43223622.25419616	4061736.143625134	535001.0041428381	10782213.488931427	1359859.3683623609	6944749.391160341	881595.429136609	1165401.255007856
P00101	GENE101	Protein P00101	16852821.504472274	1770757.8417903034	1424225.3350245198	20394713.679415736	3860650.7393082194	10066270.396537723	647878.0027942758	6168624.829944676	7969741.047082084		11308029.39985684	777102.5673808524
P00102	GENE102	Protein P00102	4401601.480129417	3143248.6338578984	3584061.4140457753	5154595.555828398	56822523.142281786	13163010.309157832	1529823.4868799655	5756559.768873107	7939696.375806166	10371156.858058397	19561950.3272854	83707830.12821575
P00103	GENE103	Protein P00103	2575764.8380863103	42834541.38424573	6411743.07481659	11880277.70623372	1265013.5554010177	7279572.888880346	299647.9025771365		12423342.42632094	3545029.893029972	9807258.20074603	18418190.66545504
P00104	GENE104	Protein P00104	3973732.3342405423	1867473.3735324997	974385.6633779297		12030749.324525982	11921594.259402461	841411.8894460201	11795538.859604813		441396.0861322217	13948403.064392004	13133756.385284208
P00105	GENE105	Protein P00105	5953910.077741797	6635155.613702214	5633965.708373685	2178895.9023941234	284488.8872995735	2295632.600287666	10885082.715700086	31559729.12347654	1028426.0713138472		2554306.187407242	1339584.4588839656
P00106	GENE106	Protein P00106		871073.1351922073		963452.30929895	183495.2068512153		3514389.083877327	507311.3459490182	10508019.43685734	24283399.104872763	1962616.5237002606	
P00107	GENE107	Protein P00107	79252048.86540286	6209672.925374323	21585471.3005432	16320068.653858135	4484762.752086161	25505936.54391204	3966115.6926294276	40711834.762401104	8874375.946702344	1037957.1913262225	1487711.9832904295	13490707.825107493
P00108	GENE108	Protein P00108		4016040.994944299		5018516.529673568	27119523.20711281			7063425.962690124		3972040.609813914	2274777.4186846246	7615221.117509059
P00109	GENE109	Protein P00109	1932968.7338033791	1698911.253011036	465196.03353247186	1728761.27003244	261677.29408333838	14033863.390200052	12053183.704613987	3790044.419531247	2906174.2189392233	9266888.747937419	18533171.610345546	
P00110	GENE110	Protein P00110	7189974.662333288	2739465.9075838826	18183290.96424036	9121913.799467579	1014990.6250191962	24796418.502056554	304808.5053521873	388755606.42477053	2162282.9776249276	6332992.446460324	8438496.683794083	294851.4210345878
P00111	GENE111	Protein P00111	2943653.9309622888	60200772.66064655	547735.8948735828			9044714.955697618	41047714.99603223		1297941.0155328193	4332156.214047737	15123513.200661067	6683320.159404688
P00112	GENE112	Protein P00112	17593604.634338893	257537.39263064062	446645.36207148276	17354447.892051794	8463919.742969185	19052350.311892677	9885903.73649615	31310221.560185183	1990065.752207224	6200772.10589161	7927629.369299253	11337494.204513382
P00113	GENE113	Protein P00113	2730762.193371066	1141795.8329310783	7669823.624289675		497344.28378395777		2781753.0247286777	1404827.1161841631	2213396.9994094847	438515.8404584904	35048183.642460145	10092702.728854427
P00114	GENE114	Protein P00114	84702178.47187905	5473859.9562448505	21865785.606603857	2079084.647063651	2518481.667727888	10045283.582331158	14632791.939567685		1479387.400656442	3243042.937232715	3980068.997004557	8860581.227441018
P00115	GENE115	Protein P00115	10715129.213385584	7210237.454116743	39412746.396126814	547169.1284972284	8330806.305383361	6127806.437498038	1212193.3529159606	3811503.753467454	21834491.483138576		822059.2459790057	461531.71614481526
P00116	GENE116	Protein P00116	7813875.865958431			6804953.036622044	7451849.814153347	1742604.4483831301	2673201.0708023407	707352.7689798597	10576418.75307471	2675562.0828502467	1999876.928617227	1875662.196744159
P00117	GENE117	Protein P00117	1621536.6804418382	1158370.3548622194	5213178.097831522	1691312.8598073253	2469423.0342305154	325930.1873787991	7439528.655595528	2270725.901517017	12652740.52432703	6476441.536315835	106345046.81377654	2158002.7178848335
P00118	GENE118	Protein P00118	751241.2176539153		2362483.8132919483	17187762.77098194		4600967.012012857	43417730.11680849	5719268.815564658	1567540.5999485198	2994801.0745789018	1748330.181259405	2126483.9871107694
P00119	GENE119	Protein P00119	19910157.07729771	4297981.841868159	7125660.358223557	10840334.112064699	13406811.937164469	5017832.827843344	989085.7874531512	9158424.594464831	2611891.4361394844	385817.3248367048	15778898.239556344	37825069.298061006
P00120	GENE120	Protein P00120	24245043.06637854	11792632.931941416	5692473.901677642	2919366.954416004		15148493.289367426	7562247.689604883		1247473.383662411	13757536.901609842	1212840.0418322696	22780976.07048482
P00121	GENE121	Protein P00121	5280807.903515304		3004258.213443839	959607.2279581806	83954670.46469271	26349892.01040922	4431174.162715141	2056472.4623621786	6143506.671688737	9654880.503790658	1322681.3150501165	6281506.741132657
P00122	GENE122	Protein P00122	860404.960688206	22333354.747994974		18988267.767331086	926209.570132951	4559924.669648047		1249009.2632477635	15514677.957288451	20063277.134689454	6036623.789993051	342260.86938228976
P00123	GENE123	Protein P00123	6020968.796472888	10272152.278590418	24021681.96194075	6890339.082874877	5120097.7743610395	157924577.91582972	9221516.247488985		22292908.365092624	30999842.73397945	2741174.834734028	7976173.821609866
P00124	GENE124	Protein P00124	7469704.821360955	4290680.16194421	1124078.4514259638	2859399.1879233117	5277156.30222954	2367191.046641892	4989779.805913684	432594.86693353264	2052619.991338341	2244610.7372849914	25929984.852854535	1370738.2804528226
P00125	GENE125	Protein P00125	401479.5649859864		6643570.755133471		10171662.548135858	3578904.3638848015			4128457.15593542	2898640.649520061	9324712.555445028	821648.0247082744
P00126	GENE126	Protein P00126	11619215.557210546	838247.0197496923			3840183.830275663	2677820.9391077696	5831093.905588469	22975436.048427686	1294993.8601066612		206050.3511490487	1972471.9256943208
P00127	GENE127	Protein P00127	3829864.5957771973	3231890.4175976166	426499.2240345551	1464237.088506637	949909.9127995657	60134329.080965385	1381187.1988941312	1983653.1583710732	13878872.70009313	7440136.968941267	19594751.877111077	2037532.95065982
P00128	GENE128	Protein P00128	3759618.812046163	11288677.344887313	4202225.963585253	5274663.609168587	524861.4320825238	1936907.2474133784	1497447.6064352582	257796.6835281694	2291182.578521913	7710768.556230775	12741016.921825346	1195984.578504872
P00129	GENE129	Protein P00129	563260.0975512108	46487562.26992706	2760497.177909406	1117659.6798160153	74765039.49667044	491051.8193970694	9182124.698712874	4796812.9372443035	3942570.2525899787	24338374.01207141	1554623.525936422	5162599.5929449275
P00130	GENE130	Protein P00130	18163198.9073211		9540087.705330607	3690695.6061812947	8533067.508166816	15920083.033747552	2051286.0996064434		307121.7441716617	85597518.28675537		2807780.8485183218
P00131	GENE131	Protein P00131	488297.3796532685	10365368.88260354	4109641.960089203	7004088.994589866	17245230.24324884	19571900.39326335	5177631.43249879	2597274.443241411	31633556.189921368	2542369.79136524	335776.01679005084	7274916.416539812
P00132	GENE132	Protein P00132	2040352.5917573108	563137.4956337387	1882841.9445005269	961013.6616502943	10072435.803815844	1894769.5504157594	864027.0971458218	4156010.2288104165	2275697.5811542827		766985.1131587438	471131.1243767512
