Accession	Description	Gene Symbol	Master	Protein FDR Confidence: Combined	Contaminant	# Peptides	# Unique Peptides	Coverage [%]	Abundance: F1: Sample, Ctrl	Abundance: F2: Sample, Ctrl	Abundance: F3: Sample, Ctrl	Abundance: F4: Sample, Ctrl	Abundance: F5: Sample, Treat	Abundance: F6: Sample, Treat	Abundance: F7: Sample, Treat	Abundance: F8: Sample, Treat
P00033	PD protein 33	GENE33	IsMasterProtein	High	FALSE	17	10	56.05678501871533	2634654.312419937	2151465.8531634067	53343745.61359862	29476640.959356874	1056268.860760319	2983059.9656447344	1862120.050213864	522004.7599032561
P00034	PD protein 34	GENE34	IsMasterProtein	High	FALSE	18	15	10.873367930536919	6569008.344358117	1792315.4155028611	14645813.15322021	5805391.367223399	621389.9296894823	2822589.3448108844	11410473.171803098	29095532.441245373
P00035	PD protein 35	GENE35	IsMasterProtein	High	FALSE	17	17	17.15078227083851	18602981.03728626	553853.9151739567	23888312.590859577	1314134.1432915914	6848255.048855376	44134337.36905009	17038521.77713268	1571415.6081008173
P00036	PD protein 36	GENE36	IsMasterProtein	High	FALSE	5	11	34.26094133974021	87906505.34757149	1309266.590582503	4439204.693164113	3431886.3451192	1338392.5598328926	19427854.541788448	680129.2894559411	982272.7794236161
P00037	PD protein 37	GENE37	IsMasterProtein	High	FALSE	22	7	18.674771560802228	21035668.764422588	3231851.0739382664	1798234.5301874047	7045353.286713423	1350873.6520755289	3777484.795442403	441757.76746232447	8716933.01915792
P00038	PD protein 38	GENE38	IsMasterProtein	High	FALSE	13	4	22.990317608550637	1471380.3805164297	1971858.616032949	1129746.1027051923	360560.13256233407	77788.05235299609	587238.6505745868	78584953.73499244	682001.4378070395
P00039	PD protein 39	GENE39	IsMasterProtein	High	FALSE	2	8	60.63086072376467	6239957.440104828	22119960.14616024	223899.30859949742	93650420.7137137	3316939.9436627002	9217975.713756202	1539963.584613441	823276.790497486
P00040	PD protein 40	GENE40	IsMasterProtein	High	FALSE	16	17	61.353506552475906	2260584.387837426	1775648.991151315	1234689.0384718492	7448176.199999136	1414890.3266662084	4504103.319568765	942472.6177471224	2921604.8666207003
P00041	PD protein 41	GENE41	IsMasterProtein	High	FALSE	3	12	48.9830961303636	8763161.715326754	492977.06988625077	2473295.4432943137	53334.28088816673	1555456.1069262952	11051981.874985283	32510704.08878519	4401426.5977485515
P00042	PD protein 42	GENE42	IsMasterProtein	High	FALSE	20	11	48.232785816726285	10503957.654943451	4137813.7611461417	5782965.01575512	39146183.8446751	7704634.503322682	963140.435640407	14711198.884595115	6587084.881102237
P00043	PD protein 43	GENE43	IsMasterProtein	High	FALSE	6	17	30.033426356405332	1415024.2714989195	17238540.297236487	518474.08425657445	8525440.140938953	10993793.432379328	6636307.822304303	20845505.735666748	14447318.119990326
P00044	PD protein 44	GENE44	IsMasterProtein	High	FALSE	25	16	64.46894928342917	9623810.658071512	2804117.3383520185	22499947.519895677	386656.3596002209	12012699.890140573	7304563.294141391	2493021.7342574773	2347785.0319973244
P00045	PD protein 45	GENE45	IsMasterProtein	High	FALSE	10	5	56.176359476743265	3182381.440258163	10659280.9500208	6476688.665709598	20108301.695026338	3353887.902128906	1628985.732170283	2576677.1007241616	1323016.1154317672
P00046	PD protein 46	GENE46	IsMasterProtein	High	FALSE	22	18	32.6140106893169	5476818.513140695	8585412.941577282	31022738.501087826	8965756.385407714	2281382.305686194	6054321.468415345	18402479.581642136	1056329.1572564926
P00047	PD protein 47	GENE47	IsMasterProtein	High	FALSE	2	9	49.598594515253914	905724.4607516475	7382866.863961904	15450581.178323146	3059403.6558853155	1152756.48772443	947437.9538111757	1793012.1133350485	10900572.936638298
P00048	PD protein 48	GENE48	IsMasterProtein	High	FALSE	16	16	58.92381819735066	1169226.4093607378	1944635.9329269938	5650189.35582413	62069473.36057746	35540131.75392517	845813.065657816	6656425.706559651	218782.3397733195
P00049	PD protein 49	GENE49	IsMasterProtein	High	FALSE	25	4	30.863789668368423	4772109.09394233	5063659.334231952	3165088.254123333	34592869.87166348	1408100.0091316446	127266451.06397882	1710707.7703426871	5384069.611354719
P00050	PD protein 50	GENE50	IsMasterProtein	High	FALSE	2	7	68.5510071105006	4739624.4615989765	8145594.291356267	2143855.070598864	3618611.5981502505	601853.2606557561	15627044.452480232	7826089.412230609	32831533.56961651
P00051	PD protein 51	GENE51	IsMasterProtein	High	FALSE	19	2	11.374039936765419	4579525.023771528	27297137.496808175	9055598.258196322	7139942.640946135	434330.0024495653	1280241.0910172076	551268.2919782448	3228197.0138737923
P00052	PD protein 52	GENE52	IsMasterProtein	High	FALSE	2	14	27.69528971587767	1174126.3208764673	68276766.54493923	917797.5791186873	27937505.57678533	20584538.90228994	5942743.710756318	26637859.466315303	934792.6144647032
P00053	PD protein 53	GENE53	IsMasterProtein	High	FALSE	20	17	18.660512327000692	6954663.859003479	3257491.674556324	43545109.405344844	2474599.504473219	3037834.6545341522	786212.4150630947	8044782.868621343	12416672.799975181
P00054	PD protein 54	GENE54	IsMasterProtein	High	FALSE	23	17	54.19867157792391	619149.1008896932	20704862.86970077	12316620.620638467	6107227.431765642	11814324.461940616	8125139.583731256	7783298.862019733	448319.67093209707
P00055	PD protein 55	GENE55	IsMasterProtein	High	FALSE	6	11	28.129365811386094	19872417.63966835	15735968.256042486	1636033.2703525817	5982956.5032172855	595394.3101092885	30155696.338461928	631428.3820439448	10983991.044357024
P00056	PD protein 56	GENE56	IsMasterProtein	High	FALSE	22	17	21.347095867474504	21963098.58405128	942136.5431060907	26982797.754618652	7362957.336766835	1325937.0408564096	1652607.4405491943	4341491.653504933	3210453.416690259
P00057	PD protein 57	GENE57	IsMasterProtein	High	FALSE	18	8	17.20438631161722	4962659.8035886185	9489023.01002222	5224476.701035143	3985864.0250347555	6242051.272629832	289899.5824548049	11651520.440842805	3316418.4206292043
P00058	PD protein 58	GENE58	IsMasterProtein	High	FALSE	13	18	68.4434718873616	9294012.29823139	31064134.439278975	8503638.821264163	2492714.5770767624	2485738.7047792696	7390437.305100175	556741.1839781771	38164363.307989694
P00059	PD protein 59	GENE59	IsMasterProtein	High	FALSE	22	6	26.582657850854567	4196099.589712877	493081.23298021423	3979202.503876182	2400034.594438915	32968826.485477272	9268530.558964444	2319599.3693685583	22378818.25153611
P00060	PD protein 60	GENE60	IsMasterProtein	High	FALSE	7	14	7.083943202671524	274911.2163135224	982535.5103600145	10836679.682176653	204153642.7807698	4659331.970786345	1545883.1650436507	5242138.254479427	5188288.377886484
P00061	PD protein 61	GENE61	IsMasterProtein	High	FALSE	8	14	78.3837026300362	485696.38928562385	4233621.673701978	109544.4919502902	3050763.487214096	1835009.0274896452	1242014.6995480899	2311298.123370485	1552456.7522867396
P00062	PD protein 62	GENE62	IsMasterProtein	High	FALSE	6	18	33.97248922757877	4548679.933681086	4608733.411037263	15012928.98577786	9696413.105082022	4350683.413669034	2712934.8716339497	2701274.638941683	2518840.123148942
P00063	PD protein 63	GENE63	IsMasterProtein	High	FALSE	18	20	27.184009655985683	533389.0213231962	8690816.6805011	1285238.5220038213	8578246.108167613	3823674.01010906	2121265.9422415565	1194584.8081610203	24213848.037349917
P00064	PD protein 64	GENE64	IsMasterProtein	High	FALSE	10	16	51.8899096776897	1834693.830637089	30741224.96088098	6411744.584932872	2268630.243948948	673930.1680494626	61802134.25803538	1293749.0887455973	20133136.23371381
P00065	PD protein 65	GENE65	IsMasterProtein	High	FALSE	4	10	64.57985899417102	28626798.82110549	92724096.02894174	44256598.1611064	8082875.665869285	2364849.7972387383	899188.6468025143	5805161.390181446	4581231.802567218
P00066	PD protein 66	GENE66	IsMasterProtein	High	FALSE	12	20	56.22272868874132	4554710.376858699	8629209.7813558	1591110.745715943	30338605.503538102	2040582.0083851914	2357908.131727079	11821659.544997532	30888490.70342148
P00067	PD protein 67	GENE67	IsMasterProtein	High	FALSE	15	10	29.474176699261037	3448780.0920988033	1086665.9978440013	5795258.721302875	1373424.7435064197	6017241.817805727	3517667.581137433	3098882.650987354	10838945.15902656
P00068	PD protein 68	GENE68	IsMasterProtein	High	FALSE	15	8	79.69656893393343	92953092.33947018	25369197.75430163	16062386.167234337	1968862.967181793	1785191.3692798468	431745.2779754271	8799037.146884527	24591779.339353982
P00069	PD protein 69	GENE69	IsMasterProtein	High	FALSE	3	14	73.36969637512583	27808096.525108647	12783895.445374217	203488.42220778068	5422751.518725137	10035166.839566816	19097933.580383375	25861646.40659406	23449168.778616738
P00070	PD protein 70	GENE70	IsMasterProtein	High	FALSE	25	2	79.09014458372751	465611.3542736332	3132137.3163974704	76152308.3219241	4342482.897350999	69333331.54569966	223729.36264776278	7510704.272797346	3602656.270114583
P00071	PD protein 71	GENE71	IsMasterProtein	High	FALSE	15	13	78.77777468757922	20707938.403451793	661559.9243589956	1416396.6864645863	4536539.160736214	683983.6152585442	1895081.7343135807	13342485.403550284	3418573.102657812
P00072	PD protein 72	GENE72	IsMasterProtein	High	FALSE	6	7	73.88062641642325	1531379.1979275113	976145.8576082097	4949246.654502765	1061604.5434176496	4012929.1886132313	1111854.5265047587	199549.44736041263	3419418.175311109
P00073	PD protein 73	GENE73	IsMasterProtein	High	FALSE	22	8	71.63646115378684	918037.8513068889	6189515.703497303	1503196.1125480304	3791331.057897257	1446253.5988915332	2938885.415273958	7745026.536650377	22942089.600246046
P00074	PD protein 74	GENE74	IsMasterProtein	High	FALSE	12	20	60.908469008312686	436340.1759374318	2554459.8969520587	495806.04267110623	397864.56906056247	3491865.1710508387	32927756.24371084	22527336.4910224	3278219.4900131314
P00075	PD protein 75	GENE75	IsMasterProtein	High	FALSE	7	5	75.78424285549717	11780947.961897492	46648012.51241016	656132.5175900508	5236643.986921024	3402783.6069675717	21270103.792309444	21069433.100739133	11200279.969012653
P00076	PD protein 76	GENE76	IsMasterProtein	High	FALSE	22	5	68.57641273723982	2648866.312067629	3459496.48799218	9777100.202103022	4052886.023793725	44836019.6916783	4955511.544127419	352013.19187175116	3805724.017356434
P00077	PD protein 77	GENE77	IsMasterProtein	High	FALSE	22	9	53.03548032243529	951990.0100517215	50182.62968280404	9341100.547283184	1340451.4460102802	2199425.88077216	2327551.02149864	9117893.961692896	32344076.876216788
P00078	PD protein 78	GENE78	IsMasterProtein	High	FALSE	14	15	19.76954532329203	529985.1572800935	93548.73449436895	24767215.443386972	1856549.093093544	11471046.98553971	1189376.2255966533	340411.52716042625	917523.26593315
P00079	PD protein 79	GENE79	IsMasterProtein	High	FALSE	3	13	23.890517227777185	21862822.77177831	2767536.881999583	1423320.2367878673	3823366.644615008	20185738.458817966	50795660.15795045	6409736.501534184	2571875.3696032297
P00080	PD protein 80	GENE80	IsMasterProtein	High	FALSE	22	9	17.83440409465704	1463792.9415540015	2326285.3643144425	195575.92795677608	2507512.833884965	3145952.6764679356	3358436.279086699	29976910.762808412	8091419.055409892
P00081	PD protein 81	GENE81	IsMasterProtein	High	FALSE	20	7	17.643179461555917	540023.7636713387	19779109.862809736	2825296.449556185	4596587.633508453	6572977.377397278	9042450.048131779	760037.5489864419	1505405.2821554171
P00082	PD protein 82	GENE82	IsMasterProtein	High	FALSE	16	7	35.28125286234706	14433902.310369028	3125413.785703491	2697751.2921310933	1833297.178869404	1759118.7339561924	3883396.374163891	10856466.00083072	9530414.90612051
P00083	PD protein 83	GENE83	IsMasterProtein	High	FALSE	5	14	65.04418841725062	2020264.4758706377	13914696.612923559	3659053.106884833	1397860.7646523723	13483388.347249664	242475.79975775813	38972769.91667565	9185233.12296644
P00084	PD protein 84	GENE84	IsMasterProtein	High	FALSE	18	20	23.78189490007991	1510932.8345112975	14921588.579352213	3202233.765021023	7502767.942192175	824337.4576388543	14020615.60905935	10802501.367559675	489234.6833332707
P00085	PD protein 85	GENE85	IsMasterProtein	High	FALSE	21	3	35.85450878921778	3154174.333911006	2913829.7313691024	7598197.054078672	517517.5283306793	3609014.299076193	19963476.458775416	2996839.4101229385	48385238.06169263
P00086	PD protein 86	GENE86	IsMasterProtein	High	FALSE	15	9	63.569981682615	35444162.28806909	1387305.7384142997	1661519.1923201324	9993442.007362148	71225411.00992663	1537749.5000534796	6821909.18022212	14228690.501283215
P00087	PD protein 87	GENE87	IsMasterProtein	High	FALSE	11	11	56.327040854625274	28901456.17109516	5775673.2658387525	7079316.430248129	3945226.468526199	13984756.900759023	12534619.104525931	2100703.612460164	1542410.4485972014
P00088	PD protein 88	GENE88	IsMasterProtein	High	FALSE	15	12	34.24018663958359	2438086.023981248	3835780.7113824785	6955581.83227495	2078365.4978974308	4193180.640851545	2406430.530452513	1577719.9715051623	11607458.928145325
P00089	PD protein 89	GENE89	IsMasterProtein	High	FALSE	19	18	34.986267811173256	15572982.495268747	11800100.798710508	6771337.038390497	2966087.098849588	351281.2059600572	434761.2947899005	2081204.0328285971	173308.0188537516
P00090	PD protein 90	GENE90	IsMasterProtein	High	FALSE	8	15	64.73902878928979	5928372.459847123	52892866.53702199	30708471.86736384	5301716.326483674	6050105.755669344	13853553.901030367	758692.6361783746	15192294.539149864
P00091	PD protein 91	GENE91	IsMasterProtein	High	FALSE	8	20	13.30346751619801	483214.30226639844	19455345.712601583	17352451.093246136	271285.6986436551	22622325.391740065	814946.7097478932	40556610.8211114	7097711.727956914
P00092	PD protein 92	GENE92	IsMasterProtein	High	FALSE	9	17	64.79467800790448	2707539.5579664456	5279017.228434692	40644254.46847857	3265721.5821587425	4035265.4441153645	5509109.982251999	5564849.025661121	3364044.473210956
P00093	PD protein 93	GENE93	IsMasterProtein	High	FALSE	17	19	76.36473595491647	330827.69931210706	36837457.40453072	434010.7914424298	7078043.112834665	44788691.95040498	15661104.549415894	9695859.82268397	603957.1227742195
P00094	PD protein 94	GENE94	IsMasterProtein	High	FALSE	10	12	27.999030454520863	3642740.958988642	2033767.0423427806	2103273.1335637136	2581970.826207973	12062888.098732188	5369092.691820779	9309201.45452576	1367712.0351679758
P00095	PD protein 95	GENE95	IsMasterProtein	High	FALSE	18	9	64.27469694531342	12152320.97213741	3626368.1390297497	1823833.7987330372	432829.63060194434	5940713.0856480235	1224576.9791514499	382271.48094161454	6189189.124554186
P00096	PD protein 96	GENE96	IsMasterProtein	High	FALSE	10	4	41.42937334396031	687416.2620308966	560174.7600617297	4543848.696865212	32569363.928896032	4951970.234280069	9266520.545579853	577976.9878775657	5593985.632759808
P00097	PD protein 97	GENE97	IsMasterProtein	High	FALSE	22	14	76.10627046607553	10050182.61316044	18119200.420616303	1446462.9322948346	4797320.908242256	8209190.419061378	2862376.313047136	4084965.282941268	6239356.077069442
P00098	PD protein 98	GENE98	IsMasterProtein	High	FALSE	22	20	21.773533529472424	23779440.51258561	1657865.7060776248	11286280.877008678	98203314.68693696	8681447.642987564	1608647.9590058252	6806606.73838767	2420762.757414152
P00099	PD protein 99	GENE99	IsMasterProtein	High	FALSE	13	11	36.412063169105934	12875986.389363656	3028841.927263296	2058451.4281361424	7808009.998339985	6090158.459929834	1884395.5869117419	8696117.833872804	1490431.7672506329
P00100	PD protein 100	GENE100	IsMasterProtein	High	FALSE	19	3	70.74398881826795	3511334.012269497	22752487.287770465	1268960.0569500278	1063010.2164066206	790522.1055735124	12577340.873166835	3052715.5691240444	8785188.598943865
P00101	PD protein 101	GENE101	IsMasterProtein	High	FALSE	2	3	48.064164390958894	5376286.217179794	1940847.2004170048	2062274.99366686	1089491.7413944027	316596.38619581086	2784695.561388887	962220.5832598639	3513843.2434885507
P00102	PD protein 102	GENE102	IsMasterProtein	High	FALSE	22	9	16.087697481907156	13468842.228096062	1263612.4431659984	19423863.71502112	6371912.892689936	157425748.95984456	1152012.3787605641	1583237.0953765414	6821388.058909288
P00103	PD protein 103	GENE103	IsMasterProtein	Medium	FALSE	5	11	72.36197789270472	3840456.149230557	13645614.13088637	6211070.718040247	1887249.748462843	2016701.8238302232	16321872.955250824	1534786.1918843081	1377399.7827162289
P00104	PD protein 104	GENE104	IsMasterProtein	Medium	FALSE	24	15	31.82215200459383	6391622.229419454	1725418.1342758008	2499704.004098731	2025981.988167203	1835858.659504819	2241916.01622231	522957.7745540931	696565.4490850664
P00105	PD protein 105	GENE105	IsMasterProtein	Medium	FALSE	4	14	17.863630844095756	2598376.0154140894	7874722.763346628	775233.8206559927	7650332.417154847	1909035.5933627917	76950809.49924067	10577813.089677721	1535530.512018171
P00106	PD protein 106	GENE106		Medium	FALSE	12	4	19.862398083363182	2066896.3202764555	24755074.79005316	4528283.148301367	6703555.49864681	2484120.1976694213	11929671.997620655	1273568.3804609799	3170281.7520240974
P00107	PD protein 107	GENE107		Medium	FALSE	22	2	18.009942317546788	4470304.643188177	1062596.0417942062	408868.10358713404	9428669.41118457	12069859.546821956	676635.887499105	3961321.934627016	2974278.6193666663
P00108	PD protein 108	GENE108		Low	TRUE	9	15	10.365460165071756	1467277.3132527783	1673985.8510809897	2809629.5417183763	2852822.314021389	7329938.494592712	4449554.993271707	14601615.729932226	1515731.973057702
P00109	PD protein 109	GENE109		Low	TRUE	21	3	15.004989141283364	1301718.2532179672	270064.52694251644	9115318.846933983	41269534.240249746	51366253.578193985	124348.77883581382	674807.4985447732	1881815.1539505746
P00110	PD protein 110	GENE110		Low	TRUE	13	6	63.565411454266936	2043918.08856568	25364661.221744847	225702.4801506649	212101.09907611017	4845320.142458031	2289054.5319683994	7466716.995348992	13496901.367440002
