Protein	Protein ID	Entry Name	Gene	Protein Description	Protein Probability	Top Peptide Probability	Unique Spectral Count	Razor Spectral Count	Total Spectral Count	Unique Peptide Count	Razor Peptide Count	Total Peptide Count	Sample1 MaxLFQ Intensity	Sample2 MaxLFQ Intensity	Sample3 MaxLFQ Intensity	Sample4 MaxLFQ Intensity	Sample5 MaxLFQ Intensity	Sample6 MaxLFQ Intensity	Sample7 MaxLFQ Intensity	Sample8 MaxLFQ Intensity
P00035	P00035	GENE35	GENE35	FragPipe protein 35	0.9901987630017753	0.9763925805227068	34	12	62	19	13	26	4933709.78008939	1052655.7754333676	3036146.0109703504	932086.212026112	8004643.6206234675	4705816.556587811	4543639.338178085	14553593.917560557
P00036	P00036	GENE36	GENE36	FragPipe protein 36	0.9975868993949442	0.9470470931461347	17	42	53	19	15	27	2984749.2445444013	415886.2027534497	33077356.008277908	21629903.990679	1416395.0043241745	36451878.113487974	7595325.476582679	761728.8030311131
P00037	P00037	GENE37	GENE37	FragPipe protein 37	0.9954209792449971	0.9010284704577328	17	14	92	10	8	20	20813919.539718416	219433.52882431707	32441539.500964463	2940570.800849391	9248941.22314734	2457390.2606491013	457525.6534180403	1457812.4197136243
P00038	P00038	GENE38	GENE38	FragPipe protein 38	0.9945473557650661	0.9276355242999318	46	46	75	18	8	10	2878721.4302104823	13892030.761763746	10130648.065835726	3357988.2132934355	3550918.3688428565	48719388.69105326	3644726.182353822	9736291.745846298
P00039	P00039	GENE39	GENE39	FragPipe protein 39	0.9979251390472826	0.9696649742792474	18	13	93	14	11	8	5624311.817589344	5557549.331090952	10808133.228283182	53892692.702169575	275698.4509467775	15283103.758996364	15159454.149060369	5188748.716601604
P00040	P00040	GENE40	GENE40	FragPipe protein 40	0.9967506987024521	0.966237881313375	15	9	42	16	7	24	15269521.641706508	2493205.287499908	10089257.291377973	6347114.008456474	3038446.5457139714	10152365.42769982	30983628.69343321	1507373.8688355112
P00041	P00041	GENE41	GENE41	FragPipe protein 41	0.9948735915018753	0.9508920063218704	19	41	83	9	8	13	1014888.9634467697	4012117.1428743424	21841657.28106232	2939457.616471126	4130910.7748482246	7218657.204538914	619700.2396389141	1379111.1966089127
P00042	P00042	GENE42	GENE42	FragPipe protein 42	0.9938377304212536	0.960461204602718	8	11	53	12	13	29	627727.2393137483	6002680.711434199	6180039.705382336	2704997.656693065	9596169.11556644	96462392.09951112	11110070.017410014	766330.8575702006
P00043	P00043	GENE43	GENE43	FragPipe protein 43	0.9997562623333852	0.9059048892652005	38	19	40	7	9	17	2722479.455965292	104696105.29981212	884889.7387188327	21605869.921865232	15467215.730410121	4907124.774695149	219950838.2870543	3355632.075249086
P00044	P00044	GENE44	GENE44	FragPipe protein 44	0.9954723728628464	0.9201511530486285	33	43	38	10	15	8	1141412.6947290362	1236414.3762937512	407104.65925244585	3364857.3375503696	5150177.1810130635	17184606.775275167	7626956.23571851	21144707.56332545
P00045	P00045	GENE45	GENE45	FragPipe protein 45	0.9922236800665517	0.963865746436837	50	21	65	3	6	8	7894358.577501805	2299097.5764641585	1429448.5374864212	830430.1889842161	2052860.5733523834	4232827.73120799	4952893.072460926	17985089.436490912
P00046	P00046	GENE46	GENE46	FragPipe protein 46	0.9922128869188012	0.980131741224873	11	18	53	6	3	6	1521420.3439020945	4282627.891072665	2173569.048820665	265401.76126784366	11431517.024793807	1640212.2308426523	9567743.711322896	25647164.35020728
P00047	P00047	GENE47	GENE47	FragPipe protein 47	0.9986081246444191	0.9925506754217286	48	29	19	18	9	20	3109312.079589286	8773015.852884412	11863022.941807974	21391789.108407382	1575011.995398425	2546466.8371760775	2598074.1977073164	1226561.7749644935
P00048	P00048	GENE48	GENE48	FragPipe protein 48	0.9907229599966015	0.9576695402059717	43	28	33	17	5	25	1265392.9833144492	9451414.065871047	3491514.2274724552	8880224.405000335	5881627.127984425	5708492.41713969	10135915.317387074	207855.49252766397
P00049	P00049	GENE49	GENE49	FragPipe protein 49	0.9948102075250609	0.9696276331949132	5	39	40	11	4	26	3657050.478097366	4529182.727748767	1173078.1572518991	17854968.906721517	1266985.7754202096	799900.8388368577	5750300.490928842	9864280.669926615
P00050	P00050	GENE50	GENE50	FragPipe protein 50	0.9904229302835211	0.918591993680254	34	35	78	4	3	15	736765.1141697962	30735100.099731144	1803954.500920887	5017319.544450745	447111.3535484236	4139242.2369913147	2431285.3673843117	20766262.38820563
P00051	P00051	GENE51	GENE51	FragPipe protein 51	0.9989234659100029	0.9902599394134698	20	21	100	5	16	6	448976.70972385653	5207380.784244007	617153.6520904949	7281647.326680807	11231384.270098476	4577164.789795617	11094817.214284683	1461110.8804942423
P00052	P00052	GENE52	GENE52	FragPipe protein 52	0.9990703194741549	0.9712029187243875	28	8	80	16	5	11	7252149.151824467	946173.4507754941	19048063.140618093	4092644.099981302	1339236.573723288	7515542.837667644	28743463.452303603	897059.4651538599
P00053	P00053	GENE53	GENE53	FragPipe protein 53	0.9968165897791775	0.9729252846307999	27	14	50	14	10	8	1208221.046427636	4181879.096534512	1480688.2908832547	2531125.334606569	969007.7218016085	6143679.87600847	2101779.1069045314	3149265.9593271
P00054	P00054	GENE54	GENE54	FragPipe protein 54	0.991950137026683	0.9052718691059686	27	16	10	14	9	24	2444170.579462235	1195827.6640864834	700908.0950333514	4873195.340058285	994349.8612378679	2324338.2991031935	3101719.186748726	3504429.1913008834
P00055	P00055	GENE55	GENE55	FragPipe protein 55	0.9911922730937882	0.9114911719228619	32	18	37	14	9	27	114201211.8369181	4622326.084502033	2166549.939760941	11101868.578957612	4009044.126119253	1819333.5929248596	881434.5281357393	182019.35654825685
P00056	P00056	GENE56	GENE56	FragPipe protein 56	0.9955530552929212	0.9480857524113242	27	44	52	8	17	19	32358528.607043553	17052346.804987192	4585066.096865997	2777638.790223018	6850497.263788054	1190617.7736887697	4298305.22471598	184665819.16742393
P00057	P00057	GENE57	GENE57	FragPipe protein 57	0.9981673086109298	0.9641923595705174	38	50	16	12	2	20	2457889.602539235	15383718.073884219	1299890.8056569612	2128104.4734134693	55809428.344390504	8280322.825207425	13351707.877135094	10253611.229663346
P00058	P00058	GENE58	GENE58	FragPipe protein 58	0.9934424397506847	0.965592247544018	5	25	76	3	6	9	4376644.779026598	282301.66963583586	829402.6864748121	242255.38825376204	3029784.39118522	57306180.27145844	22655925.609001808	1654588.063396252
P00059	P00059	GENE59	GENE59	FragPipe protein 59	0.9936564730655084	0.9716652727677261	37	7	10	14	9	14	1331380.615922125	1358987.1332744514	19082475.58325266	2303412.8321308116	825459.4080097062	4261940.120907389	15863402.659553746	464566.00658145925
P00060	P00060	GENE60	GENE60	FragPipe protein 60	0.9923714069412857	0.9035432971142628	44	36	19	8	18	26	1374632.9825555882	4595166.389876585	665134.9574453938	10023421.039570656	665781.5447977951	1112125.6215009189	2595609.0308869295	1899075.7582954094
P00061	P00061	GENE61	GENE61	FragPipe protein 61	0.9945802027686754	0.9575540680668682	42	18	22	7	2	19	11351932.785236519	2340703.546502297	9720095.50497484	407064.4911277421	1389814.2782744912	4256243.982893314	49557623.49319967	650624.3941444434
P00062	P00062	GENE62	GENE62	FragPipe protein 62	0.9920948797713365	0.9571626829247083	27	12	81	5	16	30	2064711.3310330769	27003935.259390276	182503808.90974373	4170665.451113245	11396079.947687484	6495704.422227169	47956079.05277322	14612281.938264102
P00063	P00063	GENE63	GENE63	FragPipe protein 63	0.9903984836429454	0.9616487404746938	28	6	46	8	6	16	2712578.0239077257	14173499.187984921	613098.8777743813	753234.941514487	5917122.967078734	1594174.1633021168	3284048.528490948	17180285.820218313
P00064	P00064	GENE64	GENE64	FragPipe protein 64	0.9927548608383976	0.9404035524754942	23	41	18	10	14	15	4109403.247565616	3028521.176010356	2761538.782079495	3149568.983448069	8216244.934722932	40904774.5976955	1503983.809449589	911566.5363005248
P00065	P00065	GENE65	GENE65	FragPipe protein 65	0.9918634262420669	0.9768934032366464	25	45	83	20	16	17	15568711.873737922	732094.6074609526	7618417.610851904	5528811.646955669	410860.1936853328	181097.05341396533	41504464.24379125	1187038.5362849561
P00066	P00066	GENE66	GENE66	FragPipe protein 66	0.9929899171623092	0.9719953359552909	26	18	30	13	4	28	568448.3026278826	20979190.054573186	23223145.928686887	12058951.805449534	1129516.5674932522	22348221.685144417	1053562.194179144	4090330.5299086473
P00067	P00067	GENE67	GENE67	FragPipe protein 67	0.9905881194574401	0.9026501141568894	10	30	95	7	3	30	25525170.974311948	661766.5775084372	8209757.99815455	6856906.429116884	1193061.940976908	787485.0545884983	1971355.3259951288	10780504.327428116
P00068	P00068	GENE68	GENE68	FragPipe protein 68	0.9908273645873877	0.925485411379939	18	6	85	4	13	21	494167.027235509	10166590.473368661	3511383.554043981	16979367.192408122	13667398.32653603	2118135.7494402323	28439626.228904236	2048800.0533860994
P00069	P00069	GENE69	GENE69	FragPipe protein 69	0.9925886901575582	0.9645536314385175	19	42	47	10	3	9	29831.655400521955	2796306.1253627148	15980400.061662408	553550.1203599162	1253031.3760319087	942134.5787937482	266516.9464268128	554112.8492283364
P00070	P00070	GENE70	GENE70	FragPipe protein 70	0.9968252618513186	0.9591101934470533	23	14	44	11	16	14	5538161.927899518	11963691.580078496	22211565.64356199	556870.7501639306	10681742.484991457	10708104.365757287	6329655.889067091	17906133.139613487
P00071	P00071	GENE71	GENE71	FragPipe protein 71	0.9918402444285229	0.9429009141636555	11	38	78	20	14	29	4627760.11720406	196405.12660278656	8940561.173860202	5229289.526474932	23753387.03488303	7502917.0111875925	9427751.529350597	4248765.7688242635
P00072	P00072	GENE72	GENE72	FragPipe protein 72	0.9911995801763472	0.9360831990687777	38	8	52	5	13	23	19698623.09841374	24072808.19256158	1044915.9172014806	32272396.91676565	304132.6880808024	59237950.457560204	4274141.677023896	30640764.022327475
P00073	P00073	GENE73	GENE73	FragPipe protein 73	0.9985012836918082	0.943546866616208	8	37	94	4	2	20	21035799.368831612	1774396.7641205112	10072443.992829219	2598358.3557115663	3155640.652706331	936374.8963984522	869330.6822983492	8719767.631449211
P00074	P00074	GENE74	GENE74	FragPipe protein 74	0.9920601048334899	0.9786617334986879	37	25	57	2	6	30	4230184.88302179	1846656.4619534032	6174489.601741376	30392490.953403626	655212.277854412	6187992.47992022	1612676.464732255	538088.2835015489
P00075	P00075	GENE75	GENE75	FragPipe protein 75	0.999589920492195	0.9691705412401234	26	45	88	3	9	30	71877302.608776	5209211.07407923	8094702.176421545	3040147.0905174254	13678622.317455832	1004236.8487589792	38228372.89862109	875016.7759584773
P00076	P00076	GENE76	GENE76	FragPipe protein 76	0.999393932231415	0.995727908861446	42	15	26	17	7	11	199731.77740579983	11670929.173992272	481157.25246732053	444037.93233482045	1642843.2499766573	411603.63297870255	7613474.378342609	25239528.90998972
P00077	P00077	GENE77	GENE77	FragPipe protein 77	0.9970192731726654	0.9784711261728498	18	22	53	7	7	28	12496818.852100901	8215790.141494221	611046.635323803	762395.4857707334	6170433.448678987	13132479.176241135	213059.046090176	25426323.15447646
P00078	P00078	GENE78	GENE78	FragPipe protein 78	0.995709762740063	0.9109098294094331	8	33	53	6	18	29	7300029.7475893935	15460557.652963407	7129088.062754254	1413813.3302042494	1335344.6769216228	32647623.808985244	318604.40836744534	7247485.467885635
P00079	P00079	GENE79	GENE79	FragPipe protein 79	0.9915477076172865	0.9602511388820487	36	12	52	4	3	10	1292139.379552642	1248405.4141186906	6622318.425890054	3389160.8881064737	1953039.6567113001	453898.3591390643	340017.106347491	3311331.484593333
P00080	P00080	GENE80	GENE80	FragPipe protein 80	0.9920804591675298	0.9476249566972043	37	6	69	16	11	6	801526.6550224329	12932071.788756367	22259831.713113967	3632239.531866456	1045866.4914671272	478851.4718834149	1603310.3470103669	11953245.258370114
P00081	P00081	GENE81	GENE81	FragPipe protein 81	0.9957071204820824	0.991860078458881	40	31	45	18	4	19	1811233.1476458886	1212248.3532435016	1672752.0612171153	4338982.248011208	2248149.089574793	4424465.87146549	836403.3283991652	3159659.9681652216
P00082	P00082	GENE82	GENE82	FragPipe protein 82	0.9957027865064653	0.9396619138457879	10	37	14	14	20	14	800427.3637166166	3019291.7532432307	21422943.803536795	5190492.829152435	3324248.7095797397	6137892.122703693	3705204.9790982273	2451440.1316018803
P00083	P00083	GENE83	GENE83	FragPipe protein 83	0.9974813774747989	0.95150865070705	31	36	76	15	13	24	14233675.53370182	2838534.1073445994	164211.00618317022	12423702.42374167	6897580.0671575675	17549704.930407375	6809082.77314248	85006.3285392141
P00084	P00084	GENE84	GENE84	FragPipe protein 84	0.993527411568741	0.9598123917944322	14	34	43	5	18	24	12478846.571765598	20172352.230841	155916.67760597257	3374728.8769235616	3554863.4754267745	14351728.347675385	1152413.5612878986	9581432.328671068
P00085	P00085	GENE85	GENE85	FragPipe protein 85	0.9991496134194912	0.9995749920177973	35	42	82	3	8	17	1798033.5376360617	2568051.8506147545	2154141.900472481	3056206.753768278	39427403.89065858	238998.16439574055	1088151.5432961485	42995951.95717621
P00086	P00086	GENE86	GENE86	FragPipe protein 86	0.9958528165143595	0.991289895812816	22	48	98	17	11	19	6334618.869134318	109568784.19981886	1426318.8404848184	4146101.4264655677	3516442.8324923157	4760720.89306083	4442659.595181631	274552.7315033653
P00087	P00087	GENE87	GENE87	FragPipe protein 87	0.9985683069506764	0.9677601790587451	6	12	90	20	8	27	3983486.847356207	2198505.0973518738	19664727.81949918	2005106.756541851	2483532.88504627	4056456.311812929	79294464.48778006	1064793.9395284145
P00088	P00088	GENE88	GENE88	FragPipe protein 88	0.9918259821181244	0.9125283370814377	15	46	63	13	10	29	2610838.988228969	2992317.5061269095	77162833.50173087	2083098.384025309	3197789.1688028947	673987.880628164	1977752.1353185538	18323098.18322562
P00089	P00089	GENE89	GENE89	FragPipe protein 89	0.9943229534349625	0.9889976914899948	28	33	83	12	7	21	2047622.1154048678	8063347.617754859	98513.43530945646	1005055.8070782548	2031566.3052499196	1264101.8324602863	370294.9252754697	5420687.571345069
P00090	P00090	GENE90	GENE90	FragPipe protein 90	0.9957998703280815	0.9178356910146988	46	48	68	11	14	29	1988240.0572751986	847003.0270219754	5139874.841631856	24751128.348622892	10910872.431340173	188548.98834155092	1293938.8354049157	5796298.925471849
P00091	P00091	GENE91	GENE91	FragPipe protein 91	0.991958862517975	0.9548229025799605	23	24	20	16	10	17	4886924.318477539	2081964.1253757367	15398246.20425982	856796.327160276	3598717.494804807	8211972.601172619	3977586.478537613	896064.112369054
P00092	P00092	GENE92	GENE92	FragPipe protein 92	0.9977298015360191	0.9923015883057982	20	23	70	6	4	10	1232800.9777687674	13890958.82773095	1978320.1105493028	2234689.23905212	1496550.9638717265	3103404.753601958	5521122.622875627	138123555.63432565
P00093	P00093	GENE93	GENE93	FragPipe protein 93	0.9964123713540751	0.9940552897838701	5	21	66	14	12	15	11041002.881597497	12793048.46865485	8262884.282512508	323831571.5355489	2867885.2867986904	3380454.592211107	28140566.245534636	3613051.632880533
P00094	P00094	GENE94	GENE94	FragPipe protein 94	0.9906036145159794	0.9314772430199016	8	23	75	15	3	24	5705822.4454333875	7762750.64735267	14543644.229671873	2282428.739330971	2992625.6195526207	1778227.1669062248	9287036.90851056	1249200.9762537861
P00095	P00095	GENE95	GENE95	FragPipe protein 95	0.997017877487527	0.9290943726242972	5	19	38	8	9	11	7251603.226641525	23181641.96250368	74474166.92011991	5948503.273612959	58649244.999269485	6171781.839890826	2991869.4450311796	330839.2928208203
P00096	P00096	GENE96	GENE96	FragPipe protein 96	0.9992493763787124	0.9255729760859782	26	38	33	15	16	16	2221959.711281814	4939062.424802468	2951363.4940071176	2282697.0457974584	3538483.981230355	4939147.447707946	9667064.481844032	2857232.064222923
P00097	P00097	GENE97	GENE97	FragPipe protein 97	0.9933084315252141	0.9213622215450485	43	25	22	19	16	6	4891298.856923056	1126461.4427681433	10287541.943026442	7536236.295638137	19830988.311316054	10206609.663430298	4163305.5044421125	5152963.803090477
P00098	P00098	GENE98	GENE98	FragPipe protein 98	0.9991601998275437	0.9869155608670984	36	19	23	10	5	17	1045657.9836226444	4336551.530928338	14587035.423207339	15846746.431105027	4768039.34476916	32156864.57213354	10868730.220009042	6362260.231046038
P00099	P00099	GENE99	GENE99	FragPipe protein 99	0.9986659591020808	0.9789247352692138	20	22	47	4	6	26	3279087.2933398844	1062763.4179347677	552306.2234511073	49451512.61771715	44826265.53073715	3224818.194911623	8269498.3481275635	3199537.6875660685
P00100	P00100	GENE100	GENE100	FragPipe protein 100	0.997749364147259	0.9460606111909682	11	25	49	7	14	28	14267859.410807816	2331788.9457369326	1977228.7421910178	2405421.2329353634	4854777.35687016	945529.6396484904	43055946.76928124	878801.4312455078
P00101	P00101	GENE101	GENE101	FragPipe protein 101	0.9964434530942425	0.9966831267249099	8	41	22	19	19	15	123450464.87959392	3598077.689709955	4273591.636997326	8642215.17589818	1026221.943057163	3237377.4702859023	3974797.35208767	16257604.780355671
P00102	P00102	GENE102	GENE102	FragPipe protein 102	0.9903978088785074	0.9758195721111476	7	50	32	20	9	21	3053655.7702061934	33104768.517417673	652331.2622214959	198740.45914924706	1335053.7488558453	27735315.067218423	594201.276923072	2325637.9326900253
P00103	P00103	GENE103	GENE103	FragPipe protein 103	0.9946322240429566	0.9556790493927174	37	27	33	5	6	15	414810.5477071564	1133203.586596838	3366106.6513446197	644154.8616437576	63509822.89821025	22934149.992379706	2331621.5190773807	5185386.630368923
P00104	P00104	GENE104	GENE104	FragPipe protein 104	0.9903890149610266	0.9942300457894457	12	36	85	12	19	26	1902576.7243867847	35376810.61063189	2843639.767446523	1803510.0459805382	12532035.398951715	303096.75451422506	11167342.504971312	5548130.446412664
P00105	P00105	GENE105	GENE105	FragPipe protein 105	0.9998190505896921	0.9249086033829607	31	41	33	13	4	24	2012772.3241494526	26700037.313472435	29741958.28434042	1314942.5101889744	2757361.0500728516	2975013.0923631596	13850925.864551976	2643712.677094913
P00106	P00106	GENE106	GENE106	FragPipe protein 106	0.9997737362603583	0.9480644270837513	7	45	99	5	13	29	3381898.7557010995	1274402.0282843139	32593390.050948188	7179974.292287547	1390437.0324981154	886733.8428518381	17185607.04034929	15134968.982945273
P00107	P00107	GENE107	GENE107	FragPipe protein 107	0.9938873115142408	0.9033059114981398	49	48	76	14	15	10	654590.4318109377	2656885.362508446	4007947.968045363	3094452.858251851	4999812.337821741	10496167.648636399	5109297.649433602	33440404.73570006
P00108	P00108	GENE108	GENE108	FragPipe protein 108	0.9905056319055391	0.9939358954658707	22	18	27	16	17	11	94398160.90623255	3069163.419503969	4646120.956317337	1571838.7489865876	451014.2564391649	827384.908960462	8265621.305083337	2111084.0996146207
P00109	P00109	GENE109	GENE109	FragPipe protein 109	0.9937327164543576	0.9250411795810133	11	45	97	15	18	13	152477.24417965507	223248829.14070138	15210110.77991312	4779548.422114423	820209.2978049234	5997318.535934379	2632525.350345153	13378407.716474412
